City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,Inuvik,CA,68.3499,-133.7218,34.83,52,24,11.43
295,Salinas,US,36.6777,-121.6555,64.49,67,0,16.11
296,Zaysan,KZ,47.4667,84.8667,66.25,52,99,8.66
297,Cabo San Lucas,MX,22.8909,-109.9124,75.61,65,90,1.99
298,Puerto Suarez,BO,-18.95,-57.8,65.19,48,33,4.05
299,Grimshaw,CA,56.1834,-117.6027,52.41,70,98,7.23
300,Fuenlabrada,ES,40.2842,-3.7942,65.61,72,0,8.05
301,Fiditi,NG,7.7136,3.9172,71.47,97,100,2.33
302,Ballina,AU,-28.8667,153.5667,63.79,80,100,12.28
303,Taiyuan,CN,37.8694,112.5603,71.46,35,20,13.42
304,Lompoc,US,34.6391,-120.4579,60.94,80,75,25.99
305,Antofagasta,CL,-23.65,-70.4,56.48,82,39,5.68
306,Killybegs,IE,54.6333,-8.45,50.56,88,98,10.6
307,Tiksi,RU,71.6872,128.8694,32.45,92,7,3.96
308,Muroto,JP,33.2833,134.15,71.01,72,100,8.86
309,Jiwani,PK,25.05,61.7417,85.08,77,0,10.27
310,Lakes Entrance,AU,-37.8811,147.981,59.16,62,0,5.35
311,Manaure,CO,11.7751,-72.4445,80.92,70,0,20.8
312,Ust-Omchug,RU,61.15,149.6333,36.09,100,100,3.69
313,Guerrero Negro,MX,27.9769,-114.0611,60.17,79,0,15.59
314,Okha,RU,53.5739,142.9478,38.88,78,100,1.77
315,Port Lincoln,AU,-34.7333,135.8667,66.54,61,17,12.57
316,Da Lat,VN,11.9465,108.4419,65.26,91,100,4.25
317,Dingle,PH,10.9995,122.6711,88.07,63,96,7.78
318,Bojnurd,IR,37.4747,57.329,62.17,37,67,8.55
319,Flinders,AU,-34.5833,150.8552,62.38,94,98,5.39
320,Ishigaki,JP,24.3448,124.1572,78.71,84,97,14.29
321,Hamilton,US,39.1834,-84.5333,61.65,71,40,6.91
322,Kpandae,GH,8.4689,-0.0113,75.04,81,100,2.08
323,Kourou,GF,5.1552,-52.6478,82.11,91,71,3.29
324,Warrington,GB,53.3925,-2.5802,55.51,86,23,11.5
325,Grand Island,US,40.925,-98.342,62.38,47,100,8.63
326,Svolvaer,NO,68.2342,14.5683,46.58,93,40,6.91
327,Atbasar,KZ,51.8,68.3333,52.39,39,100,20.92
328,Boende,CD,-0.2167,20.8667,71.13,95,62,2.37
329,Ambanja,MG,-13.6833,48.45,71.02,91,72,3.83
