City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
42,Mushabani,IN,82.51,22.5167,86.45,"ZEE NEWS REPOTER,HOME"
44,Maldonado,UY,53.22,-34.6667,-54.9167,La Cimarrona
45,Lvovskoye,RU,53.76,44.9944,38.6354,Gostevoy Dom
46,Albany,US,63.01,42.6001,-73.9662,
47,Cape Town,ZA,61.38,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
48,Thompson,CA,60.96,55.7435,-97.8558,Burntwood Hotel
49,Mataura,NZ,51.48,-46.1927,168.8643,Ellie's Villa
50,Palmer,US,70.21,42.1584,-72.3287,Wedgewood Motel
55,Westport,US,73.18,41.1415,-73.3579,The Westport Inn
56,Campbell River,CA,60.33,50.0163,-125.2446,Anchor Inn & Suites
57,Litovko,RU,55.67,49.2361,135.1742,
58,Petrovsk-Zabaykalskiy,RU,62.83,51.273,108.843,Arley
60,Hobart,AU,60.26,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
63,Soe,ID,79.27,-9.8607,124.284,Dena Hotel
64,Russell,US,71.38,32.3502,-85.1999,Macs
68,Lagos,NG,77.32,6.5833,3.75,
69,Puerto Ayora,EC,72.01,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Hermanus,ZA,58.42,-34.4187,19.2345,Misty Waves Boutique Hotel
71,Labuhan,ID,85.96,-6.8844,112.2051,DoubleFAG
74,Buraydah,SA,82.85,26.326,43.975,Mövenpick Qassim
75,Solton,RU,56.41,52.8429,86.4787,
76,Ribeira Grande,PT,64.09,38.5167,-28.7,Quinta da Meia Eira
78,Kununurra,AU,87.78,-15.7667,128.7333,Hotel Kununurra
79,Esperance,AU,69.37,-33.8667,121.9,Hospitality Esperance
80,Mount Gambier,AU,64.56,-37.8333,140.7667,The Commodore
81,Ahipara,NZ,61.34,-35.1667,173.1667,Ahipara Holiday Park
82,Kutum,SD,71.24,14.2,24.6667,Dibbo areaمنطقة دبو
83,Georgetown,MY,89.53,5.4112,100.3354,Cititel Penang
84,Zhigansk,RU,50.77,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
85,Kentau,KZ,64.53,43.5206,68.5094,Safary
86,Airai,TL,73.81,-8.9266,125.4092,
87,Cherskiy,RU,58.14,68.75,161.3,Gostinitsa
89,Havre-Saint-Pierre,CA,50.36,50.2334,-63.5986,Auberge Niapiskau
90,Oktyabrskoye,RU,53.74,43.0645,44.7417,Prolesok Mini-hotel
91,South Lake Tahoe,US,66.09,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
92,Ilanskiy,RU,62.92,56.2358,96.065,"Gostinitsa ""Berezka"""
93,Birao,CF,82.42,10.2849,22.7882,
94,Kailua,US,82.38,21.4022,-157.7394,Sheffield House Bed & Breakfast
95,Anadyr,RU,55.9,64.75,177.4833,Отке17.ру — жильё для командированных
96,San Francisco De Macoris,DO,75.88,19.2952,-70.2554,Hotel Las Caobas
98,Mgandu,TZ,56.66,-5.95,34.1333,
99,Bacolod,PH,87.06,10.6667,122.95,Planta Hotel & Residences
101,Gat,IL,66.4,31.61,34.7642,OlusHome
102,Tura,IN,82.02,25.5198,90.2201,Hotel RIKMAN Continental
104,Kavaratti,IN,82.83,10.5669,72.642,Hotels in Lakshadweep Islands
105,Port Alfred,ZA,59.49,-33.5906,26.891,The Halyards Hotel
106,Ponta Do Sol,PT,65.12,32.6667,-17.1,Hotel do Campo
107,Baker City,US,60.51,44.7749,-117.8344,Bridge Street Inn
108,Sao Joao Da Barra,BR,69.53,-21.6403,-41.0511,Pousada Porto De Canoas
109,Kytmanovo,RU,56.41,53.4593,85.4479,
110,Mus,TR,50.38,39.0,41.75,
114,Lubumbashi,CD,63.57,-11.6609,27.4794,Glo Flats
116,College,US,65.59,64.8569,-147.8028,Pike's Waterfront Lodge
117,Pemagatsel,BT,70.36,27.0319,91.4266,pemagatshel dzongkhag guesthouse
118,Byron Bay,AU,63.72,-28.65,153.6167,Backpackers Inn
119,Aykhal,RU,56.61,66.0,111.5,
120,Borba,BR,75.87,-4.3878,-59.5939,Hotel da Amazônia
121,Mattru,SL,73.45,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
122,Mahebourg,MU,73.69,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
123,Fasa,IR,61.84,28.9383,53.6482,Fasa University Boys' Dormitory
124,Charlestown,AU,65.82,-32.95,151.6667,Panorama Motor Inn Hotel
125,Tual,ID,83.44,-5.6667,132.75,Grand Vilia Hotel
126,Abu Samrah,SY,59.38,35.3029,37.1841,
127,Coquimbo,CL,55.13,-29.9533,-71.3436,Hotel San Juan
128,Yarada,IN,88.12,17.65,83.2667,Yarada Jungle Beach Resorts
129,Lamphun,TH,86.43,18.25,98.9167,Huaykrai Organic Farm
130,Hilo,US,81.28,19.7297,-155.09,Hilo Hawaiian Hotel
131,Vondrozo,MG,57.6,-22.8167,47.2833,
133,Namibe,AO,68.29,-15.1961,12.1522,Hotel Chik Chik Namibe
134,San Felipe,VE,72.21,10.3399,-68.7425,Posada Llovizna Rodríguez
135,Kruisfontein,ZA,54.19,-34.0033,24.7314,Oyster Bay House Rental
140,Provideniya,RU,53.71,64.3833,-173.3,
142,Kudryashovskiy,RU,57.25,55.0974,82.7742,Хостел на Дачном шоссе.
143,Lima,PE,62.91,-12.0432,-77.0282,Hotel Kamana
144,Lasa,IT,59.88,46.6166,10.7002,Pension Feldgärtenhof
145,Teguldet,RU,67.82,57.3064,88.1667,
148,Meulaboh,ID,82.76,4.1363,96.1285,Kost Pria
149,Ryotsu,JP,63.54,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
150,Saurimo,AO,60.58,-9.6608,20.3916,Hotel Kawissa Saurimo
151,Puerto Escondido,MX,80.87,15.85,-97.0667,Aldea del Bazar Hotel and Spa
154,Selenginsk,RU,61.21,52.0064,106.8647,Selenga
155,San Rafael,AR,56.61,-34.6177,-68.3301,Hotel San Rafael
157,Yuli,NG,80.31,9.6989,10.2744,
158,Chibombo,ZM,51.31,-14.6569,28.0706,Chibombo District Council Guest House
